,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],total iterations[IDF],total time[IDF],final_objective[IDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.3,-7.677779853024623,6,3,12,59.73124599456787,,,,-7.676363590420278,15,37.01654505729675
0,0.3,-7.667906135585794,6,3,10,54.77933216094971,,,,-7.6673538202814395,8,20.89167284965515
0,0.3,-7.287714067140369,6,3,9,51.993215799331665,,,,-7.2895340721837245,21,49.90761995315552
0,0.3,-7.95825662429745,6,3,9,48.89465284347534,,,,-7.9597925446478826,11,32.7854220867157
0,0.3,-10.09394509372057,6,4,8,51.66727805137634,,,,-10.12259616840371,14,41.39757204055786
0,0.3,-10.272563094836613,6,4,8,73.93881893157959,,,,-10.275482749876964,12,52.273613929748535
0,0.3,-10.317580039830036,6,4,9,65.57564783096313,,,,-10.328251436698581,11,38.69462990760803
0,0.3,-10.014830738352279,6,4,8,52.41186308860779,,,,-10.024985865977428,16,56.259814977645874
0,0.3,-13.013218656629224,6,5,8,78.40022087097168,,,,-13.015618644091994,22,84.05153203010559
0,0.3,-12.964523459785248,6,5,11,102.23007702827454,,,,-12.965891695570587,18,89.44956612586975
0,0.3,-12.745768658008544,6,5,50,314.70586800575256,,,,-12.766474651671203,19,71.26676607131958
0,0.3,-12.42178707281468,6,5,13,119.96255612373352,,,,-12.42026238419348,33,121.78067803382874
0,0.3,-15.328330574396464,6,6,6,82.4369330406189,,,,-15.365797729112892,33,137.01933908462524
0,0.3,-14.364130013653835,6,6,9,118.80533719062805,,,,-12.142273738908608,124,258.342481136322
0,0.3,-13.536286750638805,6,6,17,201.8031189441681,,,,-13.585489090369869,37,169.63116598129272
0,0.3,-18.163426335065044,6,7,10,167.9271969795227,,,,-18.166412171259644,18,144.02646899223328
0,0.3,-17.84673968395847,6,7,10,154.6287398338318,,,,-17.851075697110407,22,147.4650580883026
0,0.3,-17.36843775469813,6,7,8,129.6156849861145,,,,-17.40923595950761,26,164.38828492164612
0,0.3,-16.605906949628558,6,7,15,165.13406205177307,,,,-16.64878084218604,57,241.33223509788513
0,0.3,-20.158788631681507,6,8,8,137.6597990989685,,,,-20.159232323609636,23,186.38960003852844
0,0.3,-18.08299230470169,6,8,15,324.44013500213623,,,,-18.134746799082247,50,371.36918807029724
0,0.3,-18.954418491520595,6,8,11,218.59177684783936,,,,-17.10374703194774,85,404.7961549758911
0,0.3,-18.948188294172837,6,8,18,299.52192091941833,,,,-19.01115587385175,35,257.28787302970886
0,0.4,-7.566325293408585,6,3,10,66.16538000106812,,,,-7.567782061022002,12,41.45820999145508
0,0.4,-7.782801369839163,6,3,7,48.97970485687256,,,,-7.78455145721264,20,59.8430061340332
0,0.4,-7.676562709393785,6,3,9,57.88497996330261,,,,-7.677921194986306,11,43.06683301925659
0,0.4,-7.779631044098222,6,3,12,84.8005759716034,,,,-7.781139990267889,15,53.94539403915405
0,0.4,-9.547446941764694,6,4,11,119.74174404144287,,,,-9.548032288849486,21,98.34870719909668
0,0.4,-10.0746165169766,6,4,11,118.51711297035217,,,,-10.077280891153446,16,70.455806016922
0,0.4,-10.054812043512289,6,4,7,55.08625793457031,,,,-10.05862236365822,15,60.54372501373291
0,0.4,-10.166879010541269,6,4,9,84.93403315544128,,,,-10.168305486853555,14,69.99812698364258
0,0.4,-12.225091342613933,6,5,27,311.42938017845154,,,,-12.60616412610193,17,91.89365005493164
0,0.4,-10.491181027339056,6,5,62,391.3692100048065,,,,-10.345368002583735,173,339.7201499938965
0,0.4,-12.414495017629573,6,5,9,122.94117498397827,,,,-12.41739919452916,17,119.37186002731323
0,0.4,-12.640822223868616,6,5,10,129.78139114379883,,,,-12.643106705791634,11,76.62088394165039
0,0.4,-14.426918336787152,6,6,14,215.09479904174805,,,,-14.510306628574767,28,159.5774049758911
0,0.4,-14.90920712136145,6,6,8,137.48834586143494,,,,-14.910861980776,25,183.54960203170776
0,0.4,-14.37227156267799,6,6,8,107.42169213294983,,,,-14.391817649625935,29,150.1763560771942
0,0.4,-13.744243725428287,6,6,30,475.2756419181824,,,,-13.470964612033628,53,274.1845941543579
0,0.4,-16.272974818919863,6,7,19,333.1351799964905,,,,-16.29147724132416,25,174.95678687095642
0,0.4,-17.215464746136227,6,7,9,212.71687698364258,,,,-17.238461240639467,20,149.6616129875183
0,0.4,-16.29693036863813,6,7,18,306.4023370742798,,,,-16.35295216478795,19,134.04018306732178
0,0.4,-16.95353243804213,6,7,8,137.2869701385498,,,,-16.94327617091532,12,98.02258396148682
0,0.4,-19.680728481520056,6,8,7,156.2922658920288,,,,-19.688402888185248,25,236.2425799369812
0,0.4,-19.935611961282962,6,8,8,198.45186114311218,,,,-19.936976012431572,27,259.51945304870605
0,0.4,-19.23405118604402,6,8,11,260.9594008922577,,,,-18.657698327728966,64,472.8819811344147
